Product Name,Product URL,Product Price(₹),Product Rating,Product Number of Reviews
"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNjQxNjE2OTcxNDM0NDkzOjE2Nzk0ODE5Mjg6c3BfbXRmOjIwMTA4NDc1MDc0Njk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BRMWDNZ7%2Fref%3Dsr_1_70_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679481928%26sprefix%3Dba%252Caps%252C283%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"2,400",4.7,(19)
EUME Iris 23 LTR Laptop Backpack for 14 inch Laptop - Blue Series,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNjQxNjE2OTcxNDM0NDkzOjE2Nzk0ODE5Mjg6c3BfbXRmOjIwMTE0NDE0MjI5Mjk4OjowOjo&url=%2FEUME-Laptop-Backpack-Resistance-Charging%2Fdp%2FB07G13F54G%2Fref%3Dsr_1_71_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679481928%26sprefix%3Dba%252Caps%252C283%26sr%3D8-71-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"2,199",4.2,(140)
Li-Ning Raider Max Double Zipper Polyester Badminton Kit Bag (Blue),https://www.amazon.in/Li-Ning-Raider-Double-Polyester-Badminton/dp/B09VDQRFRV/ref=sr_1_72?crid=2M096C61O4MLT&keywords=bags&qid=1679481928&sprefix=ba%2Caps%2C283&sr=8-72,"1,549",4.4,(379)
"Hammonds Flycatcher Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 16 Inch Laptop/MacBook| Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men |",https://www.amazon.in/HAMMONDS-FLYCATCHER-Genuine-Shoulder-Messenger/dp/B07P2TQH78/ref=sr_1_73?crid=2M096C61O4MLT&keywords=bags&qid=1679481928&sprefix=ba%2Caps%2C283&sr=8-73,"2,599",4.3,"(4,687)"
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_74?crid=2M096C61O4MLT&keywords=bags&qid=1679481928&sprefix=ba%2Caps%2C283&sr=8-74,899,3.9,"(9,049)"
DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),https://www.amazon.in/DZert-Kids-Grey-School-Years/dp/B07QD1M3R9/ref=sr_1_75?crid=2M096C61O4MLT&keywords=bags&qid=1679481928&sprefix=ba%2Caps%2C283&sr=8-75,219,3.7,"(3,006)"
Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey),https://www.amazon.in/Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK/ref=sr_1_76?crid=2M096C61O4MLT&keywords=bags&qid=1679481928&sprefix=ba%2Caps%2C283&sr=8-76,819,4.2,"(1,534)"
NIVIA Deflate Round 01 Polyester Gym Bag/Unisex Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Carry Gym Accessories/Fitness Bag/Sports &Travel Bag/Gym kit Bag,https://www.amazon.in/Nivia-Deflate-5180BK-Polyester-Round/dp/B07222KX3S/ref=sr_1_77?crid=2M096C61O4MLT&keywords=bags&qid=1679481928&sprefix=ba%2Caps%2C283&sr=8-77,449,4.2,"(7,274)"
Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Navy,https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0501/dp/B07G4HH78P/ref=sr_1_78?crid=2M096C61O4MLT&keywords=bags&qid=1679481928&sprefix=ba%2Caps%2C283&sr=8-78,"1,030",4.4,"(3,134)"
motherly 25 ltrs (25 Cms) backpack(5860_grey),https://www.amazon.in/Motherly-Stylish-Babies-Diaper-Mothers/dp/B07DMKJJB4/ref=sr_1_79?crid=2M096C61O4MLT&keywords=bags&qid=1679481928&sprefix=ba%2Caps%2C283&sr=8-79,"1,736",4.5,"(5,481)"
